chunk,step,t_s,expert_image_share,expert_lang_share,expert_state_share,expert_share_right_wrist_cam,expert_peak_x_right_wrist_cam,expert_entropy_right_wrist_cam,vlm_share_right_wrist_cam,vlm_peak_x_right_wrist_cam,vlm_entropy_right_wrist_cam,expert_share_wrist_cam,expert_peak_x_wrist_cam,expert_entropy_wrist_cam,vlm_share_wrist_cam,vlm_peak_x_wrist_cam,vlm_entropy_wrist_cam,expert_share_body_cam,expert_peak_x_body_cam,expert_entropy_body_cam,vlm_share_body_cam,vlm_peak_x_body_cam,vlm_entropy_body_cam
0,0,0.42,0.189,0.602,0.209,0.0548,2.709,0.9435,0.3073,1.299,0.9973,0.0418,2.444,0.9532,0.3195,1.401,0.9952,0.0925,4.423,0.8147,0.3732,1.482,0.9953
1,50,3.02,0.1771,0.6225,0.2004,0.0676,3.693,0.8712,0.3211,1.347,0.9962,0.0374,2.713,0.9403,0.3147,1.413,0.9946,0.0721,2.867,0.9316,0.3642,1.458,0.9954
2,100,5.62,0.2016,0.6221,0.1763,0.0648,2.486,0.9569,0.3236,1.355,0.997,0.0547,2.466,0.9596,0.3168,1.368,0.9957,0.0822,2.479,0.9599,0.3596,1.405,0.996
3,150,8.22,0.2112,0.5839,0.2049,0.0585,2.136,0.9733,0.3179,1.317,0.9979,0.0669,2.093,0.9735,0.3215,1.368,0.9959,0.0857,2.29,0.9685,0.3606,1.326,0.9974
4,200,10.83,0.2404,0.5353,0.2243,0.0778,1.991,0.9791,0.3234,1.326,0.9976,0.0678,1.931,0.9777,0.3237,1.512,0.9914,0.0948,2.027,0.9737,0.3529,1.382,0.9963
5,250,13.42,0.2046,0.5614,0.234,0.0663,1.888,0.9829,0.3144,1.319,0.9976,0.0625,2.054,0.9746,0.3258,1.411,0.9962,0.0759,1.992,0.9786,0.3598,1.449,0.995
6,300,16.02,0.3146,0.6087,0.0767,0.0968,1.854,0.9843,0.3123,1.35,0.9972,0.0966,1.82,0.982,0.3294,1.404,0.9966,0.1212,1.727,0.9865,0.3582,1.388,0.9965
7,350,18.62,0.1966,0.672,0.1314,0.0547,1.888,0.9797,0.3084,1.295,0.9975,0.0489,2.055,0.9708,0.321,1.542,0.9899,0.093,2.128,0.9707,0.3706,1.485,0.9947
8,400,21.24,0.2064,0.7064,0.0872,0.0654,2.153,0.9697,0.3125,1.464,0.9929,0.0529,2.289,0.9616,0.3143,1.486,0.9906,0.0881,2.032,0.9772,0.3732,1.43,0.9958
