chunk,step,t_s,expert_image_share,expert_lang_share,expert_state_share,expert_share_right_wrist_cam,expert_peak_x_right_wrist_cam,expert_entropy_right_wrist_cam,vlm_share_right_wrist_cam,vlm_peak_x_right_wrist_cam,vlm_entropy_right_wrist_cam,expert_share_wrist_cam,expert_peak_x_wrist_cam,expert_entropy_wrist_cam,vlm_share_wrist_cam,vlm_peak_x_wrist_cam,vlm_entropy_wrist_cam,expert_share_body_cam,expert_peak_x_body_cam,expert_entropy_body_cam,vlm_share_body_cam,vlm_peak_x_body_cam,vlm_entropy_body_cam
0,0,0.4,0.1591,0.5678,0.2731,0.0417,2.234,0.9665,0.3288,1.815,0.9843,0.0445,2.305,0.9583,0.3133,1.534,0.9917,0.0729,2.346,0.9675,0.3579,1.385,0.9963
1,50,3.01,0.2281,0.5629,0.209,0.0746,2.181,0.9672,0.3167,1.714,0.9859,0.0721,2.02,0.9743,0.3119,1.455,0.9956,0.0814,2.056,0.9755,0.3714,1.461,0.9951
2,100,5.61,0.3302,0.5463,0.1235,0.116,2.013,0.9783,0.317,1.529,0.993,0.0949,1.916,0.9803,0.3289,1.73,0.9874,0.1192,1.818,0.9833,0.3541,1.431,0.9956
3,150,8.22,0.3431,0.5442,0.1127,0.1193,2.245,0.9695,0.3233,1.481,0.9951,0.1064,1.963,0.979,0.3142,1.44,0.995,0.1173,1.841,0.9834,0.3625,1.408,0.9959
4,200,10.82,0.3501,0.5459,0.1041,0.1229,1.763,0.9848,0.3133,1.313,0.9976,0.1084,1.771,0.9851,0.3152,1.37,0.9964,0.1188,1.736,0.9868,0.3715,1.543,0.9931
5,250,13.43,0.3302,0.555,0.1148,0.1221,1.875,0.981,0.3114,1.455,0.9951,0.0997,1.875,0.981,0.3264,1.556,0.9925,0.1084,1.826,0.9857,0.3622,1.463,0.9942
6,300,16.03,0.3414,0.5445,0.1141,0.1303,1.817,0.9831,0.308,1.309,0.9977,0.1011,1.912,0.9803,0.3278,1.536,0.9932,0.1099,1.813,0.9864,0.3642,1.432,0.9952
