chunk,step,t_s,expert_image_share,expert_lang_share,expert_state_share,expert_share_right_wrist_cam,expert_peak_x_right_wrist_cam,expert_entropy_right_wrist_cam,vlm_share_right_wrist_cam,vlm_peak_x_right_wrist_cam,vlm_entropy_right_wrist_cam,expert_share_wrist_cam,expert_peak_x_wrist_cam,expert_entropy_wrist_cam,vlm_share_wrist_cam,vlm_peak_x_wrist_cam,vlm_entropy_wrist_cam,expert_share_body_cam,expert_peak_x_body_cam,expert_entropy_body_cam,vlm_share_body_cam,vlm_peak_x_body_cam,vlm_entropy_body_cam
0,0,0.41,0.1712,0.6346,0.1943,0.0476,2.615,0.9518,0.3083,1.292,0.9975,0.0382,2.46,0.9543,0.3182,1.474,0.9927,0.0853,4.387,0.7874,0.3735,1.497,0.9948
1,50,3.01,0.2277,0.688,0.0842,0.0939,3.419,0.8793,0.314,1.266,0.998,0.0546,2.409,0.9582,0.3181,1.423,0.9943,0.0792,2.451,0.9594,0.3679,1.457,0.9953
2,100,5.61,0.2211,0.6754,0.1035,0.0797,2.905,0.9286,0.3257,1.389,0.9963,0.0587,2.667,0.9525,0.3155,1.438,0.9944,0.0827,2.079,0.9714,0.3589,1.386,0.9962
3,150,8.21,0.381,0.4581,0.1609,0.119,1.63,0.9878,0.3049,1.223,0.9988,0.1245,1.783,0.9866,0.3189,1.358,0.9966,0.1374,1.647,0.9888,0.3762,1.407,0.9962
4,200,10.81,0.262,0.5481,0.1899,0.0872,1.861,0.9796,0.3036,1.204,0.9989,0.0799,2.029,0.978,0.3279,1.524,0.9929,0.0949,1.967,0.9811,0.3685,1.436,0.9958
5,250,13.41,0.2264,0.5536,0.22,0.0723,1.823,0.9823,0.3037,1.289,0.9981,0.072,2.151,0.9751,0.3281,1.51,0.9925,0.0821,2.026,0.9784,0.3682,1.52,0.9941
6,300,16.01,0.2458,0.6719,0.0822,0.0779,1.695,0.9874,0.3056,1.202,0.999,0.0704,1.918,0.9792,0.3362,1.496,0.9932,0.0975,1.653,0.9862,0.3582,1.385,0.9964
7,350,18.62,0.186,0.7207,0.0933,0.0511,2.117,0.9712,0.3182,1.374,0.9957,0.048,2.179,0.9692,0.3125,1.506,0.9909,0.0869,2.275,0.9662,0.3693,1.512,0.9944
