step,t,LJ1.pos_target,LJ1.pos_commanded,LJ1.pos_actual,LJ2.pos_target,LJ2.pos_commanded,LJ2.pos_actual,LJ3.pos_target,LJ3.pos_commanded,LJ3.pos_actual,LJ4.pos_target,LJ4.pos_commanded,LJ4.pos_actual,LJ5.pos_target,LJ5.pos_commanded,LJ5.pos_actual,LJ6.pos_target,LJ6.pos_commanded,LJ6.pos_actual,LJ7.pos_target,LJ7.pos_commanded,LJ7.pos_actual,LJ8.pos_target,LJ8.pos_commanded,LJ8.pos_actual,RJ1.pos_target,RJ1.pos_commanded,RJ1.pos_actual,RJ2.pos_target,RJ2.pos_commanded,RJ2.pos_actual,RJ3.pos_target,RJ3.pos_commanded,RJ3.pos_actual,RJ4.pos_target,RJ4.pos_commanded,RJ4.pos_actual,RJ5.pos_target,RJ5.pos_commanded,RJ5.pos_actual,RJ6.pos_target,RJ6.pos_commanded,RJ6.pos_actual,RJ7.pos_target,RJ7.pos_commanded,RJ7.pos_actual,RJ8.pos_target,RJ8.pos_commanded,RJ8.pos_actual
10,0.33817100524902344,-0.004410389345139265,-0.004410389345139265,0.0001907377737087046,-8.190309927158523e-06,-8.190309927158523e-06,0.0001907377737087046,0.0023869166616350412,0.0023869166616350412,0.018501564049744346,4.333064498496242e-05,4.333064498496242e-05,0.008964675364309116,-0.0008312611607834697,-0.0008312611607834697,-0.003242542153047978,-5.46342707821168e-05,-5.46342707821168e-05,-0.023079270618753256,5.596300070465077e-06,5.596300070465077e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0755703059433888,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
11,0.37152576446533203,-0.004967595916241407,-0.004967595916241407,-0.0005722133211261138,-8.185698789020535e-06,-8.185698789020535e-06,0.0001907377737087046,0.0026832439471036196,0.0026832439471036196,0.018501564049744346,4.331776290200651e-05,4.331776290200651e-05,0.008964675364309116,-0.0008477697265334427,-0.0008477697265334427,-0.003242542153047978,-5.464813148137182e-05,-5.464813148137182e-05,-0.022697795071335847,5.596428763965378e-06,5.596428763965378e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0755703059433888,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
12,0.40499162673950195,-0.005530448164790869,-0.005530448164790869,-0.0005722133211261138,-8.179807991837151e-06,-8.179807991837151e-06,0.0001907377737087046,0.0029830001294612885,0.0029830001294612885,0.018501564049744346,4.331272066337988e-05,4.331272066337988e-05,0.008964675364309116,-0.000860544852912426,-0.000860544852912426,-0.003242542153047978,-5.465816138894297e-05,-5.465816138894297e-05,-0.022697795071335847,5.583222446148284e-06,5.583222446148284e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0778591592278932,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
13,0.4385097026824951,-0.006097421981394291,-0.006097421981394291,-0.000953688868543523,-8.177905328921042e-06,-8.177905328921042e-06,0.0001907377737087046,0.0032853586599230766,0.0032853586599230766,0.018501564049744346,4.3310647015459836e-05,4.3310647015459836e-05,0.008964675364309116,-0.0008704429492354393,-0.0008704429492354393,-0.003242542153047978,-5.466265065479092e-05,-5.466265065479092e-05,-0.022697795071335847,5.5224786592589226e-06,5.5224786592589226e-06,-0.007820248722056888,-1.1755,-1.1755,-1.078622110322728,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
14,0.47179174423217773,-0.006667481269687414,-0.006667481269687414,-0.0020981155107957505,-8.176452865882311e-06,-8.176452865882311e-06,0.0001907377737087046,0.003589702071622014,0.003589702071622014,0.018501564049744346,4.331036689109169e-05,4.331036689109169e-05,0.008964675364309116,-0.0008781168726272881,-0.0008781168726272881,-0.003242542153047978,-5.466532093123533e-05,-5.466532093123533e-05,-0.022697795071335847,5.437148502096534e-06,5.437148502096534e-06,-0.007438773174639479,-1.1755,-1.1755,-1.078622110322728,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.019264515144579164,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
15,0.505234956741333,-0.00723996851593256,-0.00723996851593256,-0.0036240177004653873,-8.175132279575337e-06,-8.175132279575337e-06,0.0001907377737087046,0.0038955078925937414,0.0038955078925937414,0.018501564049744346,4.331128002377227e-05,4.331128002377227e-05,0.008964675364309116,-0.0008840860682539642,-0.0008840860682539642,-0.003242542153047978,-5.466752190841362e-05,-5.466752190841362e-05,-0.023079270618753256,5.377305114961928e-06,5.377305114961928e-06,-0.007438773174639479,-1.1755,-1.1755,-1.078622110322728,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
16,0.5385591983795166,-0.007814128883183002,-0.007814128883183002,-0.0036240177004653873,-8.173868081939872e-06,-8.173868081939872e-06,0.0001907377737087046,0.004202559124678373,0.004202559124678373,0.018501564049744346,4.331277887104079e-05,4.331277887104079e-05,0.008964675364309116,-0.0008887124713510275,-0.0008887124713510275,-0.003242542153047978,-5.4669140808982775e-05,-5.4669140808982775e-05,-0.022697795071335847,5.31188470631605e-06,5.31188470631605e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0790035858701454,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
17,0.571974515914917,-0.008389505557715893,-0.008389505557715893,-0.0036240177004653873,-8.172634807124268e-06,-8.172634807124268e-06,0.0001907377737087046,0.004510530270636082,0.004510530270636082,0.018501564049744346,4.331416494096629e-05,4.331416494096629e-05,0.008964675364309116,-0.000892297481186688,-0.000892297481186688,-0.003242542153047978,-5.467079972731881e-05,-5.467079972731881e-05,-0.022697795071335847,5.230537226452725e-06,5.230537226452725e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0790035858701454,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
18,0.6052701473236084,-0.008965880610048771,-0.008965880610048771,-0.0040054932478827965,-8.171403351298068e-06,-8.171403351298068e-06,0.0001907377737087046,0.0048190695233643055,0.0048190695233643055,0.018501564049744346,4.331618401920423e-05,4.331618401920423e-05,0.008964675364309116,-0.000895114557351917,-0.000895114557351917,-0.003242542153047978,-5.467197115649469e-05,-5.467197115649469e-05,-0.022697795071335847,5.140080702403793e-06,5.140080702403793e-06,-0.007820248722056888,-1.1755,-1.1755,-1.0790035858701454,-0.07686732280460795,-0.07686732280460795,-0.07763027389944277,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
19,0.6385650634765625,-0.009542925283312798,-0.009542925283312798,-0.005912870984969842,-8.170182809408288e-06,-8.170182809408288e-06,0.0001907377737087046,0.0051281992346048355,0.0051281992346048355,0.018501564049744346,4.331831951276399e-05,4.331831951276399e-05,0.008964675364309116,-0.0008972781943157315,-0.0008972781943157315,-0.0036240177004653873,-5.467309892992489e-05,-5.467309892992489e-05,-0.023079270618753256,5.10677591591957e-06,5.10677591591957e-06,-0.00705729762722207,-1.1755,-1.1755,-1.0790035858701454,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
